year,state_fips,county_fips,vacant_units,total_units,vacancy_rate
2012,36,005,38073,514051,7.406463561008538
2012,36,047,83781,1003114,8.352091586798709
2012,36,061,103804,850490,12.205199355665558
2012,36,081,59798,840147,7.117563950118253
2012,36,085,14011,177479,7.894455118633754
2013,36,005,35331,516474,6.840809024268404
2013,36,047,80592,1006081,8.010488221127325
2013,36,061,126285,852642,14.811022680093169
2013,36,081,57011,841254,6.776906855717773
2013,36,085,10406,178035,5.844918134074761
2014,36,005,29680,522161,5.6840706218963115
2014,36,047,80167,1022569,7.839764358199789
2014,36,061,105415,867643,12.149582259062772
2014,36,081,61788,847773,7.288271742553726
2014,36,085,13625,178596,7.628950256444713
2015,36,005,28222,523735,5.388603014883481
2015,36,047,85639,1025815,8.34838640495606
2015,36,061,118646,869890,13.639195760383497
2015,36,081,74800,849552,8.804640563496996
2015,36,085,11524,178986,6.438492396053323
2016,36,005,27249,525788,5.182507018037688
2016,36,047,89254,1031125,8.655982543338586
2016,36,061,127697,875990,14.577449514263861
2016,36,081,89757,851576,10.540104465132883
2016,36,085,15102,179391,8.418482532568524
2017,36,005,24866,528851,4.7018914590309935
2017,36,047,88064,1044287,8.432930793929255
2017,36,061,122166,886384,13.782514124803697
2017,36,081,87992,857250,10.264450277048702
2017,36,085,14582,180572,8.075449128325543
2018,36,005,25139,532509,4.720859177966945
2018,36,047,84350,1053667,8.00537551237725
2018,36,061,134024,886282,15.122049189761272
2018,36,081,77699,865809,8.974150187858985
2018,36,085,13745,181186,7.586126963451922
2019,36,005,23307,537197,4.338631824079434
2019,36,047,87272,1065363,8.191761868959219
2019,36,061,124727,892930,13.968284188010259
2019,36,081,84794,869346,9.75376892514603
2019,36,085,15468,181765,8.509889142574202
2020,36,005,24580,547030,4.493355026232565
2020,36,047,67850,1077654,6.296083900769635
2020,36,061,96144,913926,10.51988891879649
2020,36,081,49123,896333,5.480440862938216
2020,36,085,10490,183692,5.7106460814842235
2021,36,005,19417,552421,3.5148917220742875
2021,36,047,84125,1085993,7.7463666892880525
2021,36,061,179034,916609,19.532210571792334
2021,36,081,82068,902754,9.090848669737271
2021,36,085,13392,184154,7.272174375794172
2022,36,005,24950,557985,4.471446365045655
2022,36,047,75068,1101429,6.8155096697108934
2022,36,061,119395,923239,12.932187656717275
2022,36,081,72060,911913,7.902069605324192
2022,36,085,14551,184497,7.886849108657593
